;SKU;Faturamento
360;8.07.04.55.01;9565.57
361;8.04.04.15.18;9562.5
362;8.09.04.20.08;9477.95
363;24.54.159.19.00;9452.18
364;8.03.02.32.10;9365.3
365;8.04.01.15.10;9364.46
366;8.03.76.06.01;9334.85
367;24.25.49.05.00;9294.24
368;8.60.171.09.06;9272.0
369;24.11.175.77.06;9182.68
370;21.14.50.125.00;9157.67
371;8.05.01.13.27;9132.61
372;24.25.49.07.06;9093.94
373;6.28.60.23.69;9013.05
374;8.04.76.02.10;8992.8
375;8.04.02.10.11;8909.08
376;24.55.66.296.00;8901.02
377;8.25.01.04.01;8866.12
378;21.14.46.369.12;8837.119999999999
379;24.51.159.17.07;8829.57
380;21.14.50.272.00;8813.11
381;8.24.53.70.08;8786.609999999999
382;8.09.03.81.07;8768.9
383;8.03.02.34.01;8753.25
384;8.04.23.10.07;8750.9
385;8.03.03.16.01;8691.97
386;6.30.162.05.11;8666.94
387;8.08.04.02.10;8615.28
388;24.50.66.772.05;8575.619999999999
389;8.09.04.130.57;8507.05
390;21.14.46.310.01;8498.0
391;8.09.03.122.10;8419.5
392;8.09.28.80.12;8360.0
393;8.09.01.09.01;8313.05
394;8.07.23.16.10;8289.37
395;24.57.159.09.00;8284.47
396;8.03.04.43.01;8278.2
397;8.03.04.62.10;8277.6
398;8.67.33.01.07;8275.2
399;8.13.33.11.69;8268.68
400;8.08.04.03.10;8250.93
401;24.57.66.229.00;8220.24
402;8.04.76.07.01;8213.7
403;24.54.66.318.00;8184.94
404;8.25.47.115.06;8174.62
405;8.09.01.05.01;8094.11
406;21.14.50.61.00;8090.81
407;24.57.66.679.00;8062.4400000000005
408;8.09.23.68.10;8053.88
409;21.14.50.37.00;8019.4
410;8.04.03.27.10;8013.7
411;24.54.159.38.00;7974.570000000001
412;8.24.53.30.07;7973.22
413;8.24.53.29.00;7961.5199999999995
414;24.55.159.59.00;7861.45
415;24.57.159.13.00;7845.740000000001
416;24.56.159.130.00;7834.5199999999995
417;24.10.159.210.60;7817.280000000001
418;24.11.175.37.06;7794.13
419;8.09.03.02.10;7788.95
420;8.09.23.64.01;7758.8099999999995
421;24.56.66.42.04;7733.96
422;8.09.04.75.68;7726.6
423;8.07.04.44.01;7680.74
424;8.09.23.43.27;7623.09
425;24.11.175.45.00;7611.63
426;8.07.01.01.01;7602.61
427;8.04.04.08.10;7597.539999999999
428;8.13.33.06.00;7554.49
429;8.04.04.04.10;7536.099999999999
430;8.13.33.01.00;7451.0
431;6.30.162.08.08;7386.719999999999
432;8.07.04.54.10;7340.03
433;24.57.159.15.00;7324.98
434;24.51.159.25.00;7307.139999999999
435;8.05.61.27.10;7240.7
436;8.09.04.106.18;7239.22
437;8.07.76.08.01;7180.0
438;24.10.159.333.00;7152.51
439;8.02.02.04.01;7136.299999999999
440;24.57.66.457.00;7134.62
441;8.05.02.12.11;7115.549999999999
442;8.09.03.79.01;7086.42
443;8.07.04.02.01;7082.4
444;8.12.01.01.10;7080.52
445;8.01.39.10.07;7067.28
446;24.10.159.276.00;7053.57
447;8.27.04.01.07;7043.47
448;8.09.01.36.58;7043.3
449;24.11.175.92.57;7029.599999999999
450;8.06.39.26.18;7015.75
451;24.25.49.18.11;7015.6
452;8.09.04.123.01;7003.099999999999
453;8.05.33.03.18;6999.67
454;24.69.163.85.00;6995.48
455;8.04.53.17.10;6989.3
456;8.09.04.121.10;6987.5
457;24.56.66.34.00;6981.5599999999995
458;21.14.50.491.00;6969.51
459;24.54.66.361.00;6962.85
460;8.25.02.35.06;6941.65
461;8.07.04.22.18;6932.6
462;21.14.46.396.12;6925.46
463;8.09.04.101.01;6913.23
464;8.09.01.12.01;6898.9
465;21.14.50.1080.00;6898.38
466;24.51.159.06.06;6886.98
467;24.54.66.369.00;6880.66
468;8.04.23.17.10;6871.23
469;24.56.66.60.04;6863.469999999999
470;24.10.159.371.01;6862.349999999999
471;8.24.169.03.11;6858.815
472;8.09.02.03.10;6816.9
473;8.09.03.82.01;6813.040000000001
474;8.04.02.06.11;6798.0
475;8.03.02.26.10;6798.0
476;6.30.162.01.06;6787.44
477;21.16.50.08.00;6759.79
478;6.28.25.148.05;6749.5
479;21.14.50.15.00;6746.88
480;8.07.04.25.47;6742.099999999999
481;8.06.01.01.08;6712.3
482;8.09.03.108.07;6702.55
483;8.07.76.14.07;6676.131
484;8.07.23.01.18;6665.86
485;24.56.66.43.04;6642.339999999999
486;8.09.53.01.01;6598.0
487;24.56.159.70.06;6562.4
488;21.14.50.84.00;6410.2
489;8.09.23.78.10;6398.4
490;24.57.66.234.00;6395.38
491;8.02.18.03.00;6376.9
492;8.25.01.18.06;6365.55
493;8.09.161.01.10;6290.0
494;8.03.04.61.18;6289.599999999999
495;21.14.50.122.00;6274.26
496;8.30.33.08.00;6260.39
497;24.55.66.135.00;6236.51
498;8.02.02.03.01;6236.1
499;8.11.01.03.01;6231.03
500;24.56.66.162.00;6226.49
501;21.14.50.1363.57;6211.17
502;8.67.23.02.18;6204.5
503;8.09.73.10.00;6198.0
504;24.11.175.162.06;6174.09
505;8.09.03.123.01;6152.9
506;8.07.32.07.08;6148.7
507;8.08.23.04.01;6141.87
508;24.10.159.274.00;6100.5
